previous_sub_count,last_updated,average_per_second,average_per_minute,average_per_day
"2710000","2024-05-27T14:31:04.166Z","87.71929824561404","5263.1578947368425","7578947.3684210535"
"2720000","2024-05-27T14:33:04.696Z","83.33333333333333","5000","7200000"
"2730000","2024-05-27T14:35:02.197Z","85.47008547008546","5128.205128205128","7384615.384615384"
"2740000","2024-05-27T14:37:02.495Z","83.33333333333333","5000","7200000"
"2750000","2024-05-27T14:39:04.472Z","82.64462809917356","4958.677685950413","7140495.867768596"
"2760000","2024-05-27T14:41:05.785Z","82.64462809917356","4958.677685950413","7140495.867768596"
"2770000","2024-05-27T14:43:06.438Z","83.33333333333333","5000","7200000"
"2780000","2024-05-27T14:45:07.788Z","82.64462809917356","4958.677685950413","7140495.867768596"
"2790000","2024-05-27T14:47:12.364Z","80.64516129032258","4838.709677419354","6967741.935483871"
"2800000","2024-05-27T14:49:14.646Z","81.9672131147541","4918.032786885246","7081967.213114754"
"2810000","2024-05-27T14:51:18.781Z","80.64516129032258","4838.709677419354","6967741.935483871"
"2820000","2024-05-27T14:53:27.312Z","78.125","4687.5","6750000"
"2830000","2024-05-27T14:55:28.402Z","82.64462809917356","4958.677685950413","7140495.867768596"
"2840000","2024-05-27T14:57:35.029Z","79.36507936507937","4761.904761904762","6857142.857142857"
"2850000","2024-05-27T14:59:41.777Z","79.36507936507937","4761.904761904762","6857142.857142857"
"2860000","2024-05-27T15:02:06.285Z","69.44444444444444","4166.666666666667","6000000"
"2870000","2024-05-27T15:04:10.376Z","80.64516129032258","4838.709677419354","6967741.935483871"
"2880000","2024-05-27T15:06:15.827Z","80","4800","6912000"
"2890000","2024-05-27T15:09:10.741Z","57.47126436781609","3448.2758620689656","4965517.24137931"
"2900000","2024-05-27T15:12:17.377Z","53.763440860215056","3225.8064516129034","4645161.29032258"
"2910000","2024-05-27T15:14:36.862Z","71.94244604316546","4316.546762589927","6215827.338129496"
"2920000","2024-05-27T15:16:44.521Z","78.74015748031496","4724.4094488188975","6803149.606299213"
"2930000","2024-05-27T15:18:56.213Z","76.33587786259542","4580.152671755725","6595419.847328245"
"2940000","2024-05-27T15:21:06.382Z","76.92307692307692","4615.384615384615","6646153.846153846"
"2950000","2024-05-27T15:23:20.796Z","74.6268656716418","4477.611940298508","6447761.194029851"
"2960000","2024-05-27T15:25:33.239Z","75.75757575757575","4545.454545454545","6545454.545454545"
"2970000","2024-05-27T15:27:44.549Z","76.33587786259542","4580.152671755725","6595419.847328245"
"2980000","2024-05-27T15:29:59.008Z","74.6268656716418","4477.611940298508","6447761.194029851"
"2990000","2024-05-27T15:32:16.481Z","72.99270072992701","4379.56204379562","6306569.343065694"
"3000000","2024-05-27T15:34:27.676Z","76.33587786259542","4580.152671755725","6595419.847328245"
"3010000","2024-05-27T15:36:41.735Z","74.6268656716418","4477.611940298508","6447761.194029851"
"3020000","2024-05-27T15:38:55.922Z","74.6268656716418","4477.611940298508","6447761.194029851"
"3030000","2024-05-27T15:41:09.016Z","75.18796992481202","4511.278195488721","6496240.601503759"
"3040000","2024-05-27T15:43:27.760Z","72.46376811594203","4347.826086956522","6260869.565217392"
"3050000","2024-05-27T15:45:45.072Z","72.99270072992701","4379.56204379562","6306569.343065694"
"3060000","2024-05-27T15:48:07.477Z","70.4225352112676","4225.352112676056","6084507.04225352"
"3070000","2024-05-27T15:50:22.571Z","74.07407407407408","4444.444444444444","6400000"
"3080000","2024-05-27T15:52:45.021Z","71.94244604316546","4316.546762589927","6215827.338129496"
"3090000","2024-05-27T15:55:06.769Z","70.92198581560284","4255.319148936171","6127659.574468086"
"3100000","2024-05-27T15:57:26.202Z","71.94244604316546","4316.546762589927","6215827.338129496"
"3110000","2024-05-27T15:59:46.372Z","71.42857142857143","4285.714285714286","6171428.571428572"
"3120000","2024-05-27T16:02:15.980Z","67.11409395973155","4026.8456375838928","5798657.718120806"
"3130000","2024-05-27T16:04:37.718Z","70.92198581560284","4255.319148936171","6127659.574468086"
